,type,direction,price,size,timestamp,stop_loss,pnl,reason
0,entry,long,17197.0,1.7608863127774304,2023-01-09 00:00:00,16924.41,,
1,exit,,17332.43,,2023-01-11 12:00:00,,238.4768333394479,tp_ema10
2,entry,long,17550.29,2.094025684947329,2023-01-11 16:00:00,17315.6,,
3,exit,,21042.73,,2023-01-18 12:00:00,,7313.259063137447,tp_ema10
4,entry,long,20876.44,3.1255178001517088,2023-01-19 12:00:00,20660.8,,
5,exit,,20959.44,,2023-01-20 04:00:00,,259.4179774125918,tp_ema10
6,entry,long,21496.67,1.2639027031033687,2023-01-20 16:00:00,20955.53,,
7,exit,,22661.02,,2023-01-23 00:00:00,,1471.6251123584102,tp_ema10
8,entry,long,22904.58,2.4321991626327475,2023-01-23 08:00:00,22600.14,,
9,exit,,22632.89,,2023-01-24 20:00:00,,-660.8041904956968,tp_ema10
10,entry,long,23060.94,1.297934134673261,2023-01-25 20:00:00,22510.0,,
11,exit,,22772.62,,2023-01-27 00:00:00,,-374.2203697089942,tp_ema10
12,entry,long,23253.06,1.7012983950276899,2023-01-27 16:00:00,22841.19,,
13,exit,,22991.51,,2023-01-28 04:00:00,,-444.97459521949725,tp_ema10
14,entry,long,23897.84,0.9991438997440588,2023-01-29 16:00:00,23350.47,,
15,exit,,23077.47,,2023-01-30 08:00:00,,-819.6676810330325,stop_loss
16,entry,long,23385.99,0.6669920803395143,2023-02-01 16:00:00,22760.23,,
17,exit,,23488.94,,2023-02-02 20:00:00,,68.66683467095106,tp_ema10
18,entry,long,23603.36,1.11394077703915,2023-02-03 12:00:00,23227.16,,
19,exit,,23307.99,,2023-02-03 16:00:00,,-329.02468731405264,tp_ema10
20,entry,short,23096.16,1.0852890791770111,2023-02-05 12:00:00,23419.74,,
21,exit,,22977.24,,2023-02-07 08:00:00,,129.06257729572826,tp_ema10
22,entry,short,22872.28,0.9638526919144503,2023-02-08 12:00:00,23239.44,,
23,exit,,21862.55,,2023-02-11 20:00:00,,973.2309786067775,tp_ema10
24,entry,short,21603.11,1.2824654135742446,2023-02-13 08:00:00,21894.99,,
25,exit,,21773.97,,2023-02-13 20:00:00,,-219.12204056329617,tp_ema10
26,entry,long,22445.13,0.9923357186704086,2023-02-15 08:00:00,22072.55,,
27,exit,,23517.72,,2023-02-16 20:00:00,,1064.3693684886937,tp_ema10
28,entry,long,24130.5,0.6558541991610782,2023-02-17 12:00:00,23532.69,,
29,exit,,24523.79,,2023-02-19 16:00:00,,257.940897988061,tp_ema10
30,entry,long,24890.0,0.7693362449111342,2023-02-20 08:00:00,24373.33,,
31,exit,,24572.83,,2023-02-21 08:00:00,,-244.01037679846308,tp_ema10
32,entry,short,23713.61,0.7520100041119825,2023-02-22 12:00:00,24235.37,,
33,exit,,24454.85,,2023-02-23 00:00:00,,-557.4198954479643,stop_loss
34,entry,short,23351.31,0.5630025615503836,2023-02-24 12:00:00,24027.44,,
35,exit,,23253.44,,2023-02-26 08:00:00,,55.10106069893752,tp_ema10
36,entry,short,23276.35,0.6142140856697369,2023-02-27 16:00:00,23897.99,,
37,exit,,23492.09,,2023-02-27 20:00:00,,-132.51054684239003,tp_ema10
38,entry,short,23141.57,0.82681613928418,2023-02-28 20:00:00,23600.0,,
39,exit,,23441.14,,2023-03-01 00:00:00,,-247.68931084536155,tp_ema10
40,entry,short,22319.69,0.2995887638574916,2023-03-03 00:00:00,23567.52,,
41,exit,,22436.18,,2023-03-05 12:00:00,,-34.89909510175968,tp_ema10
42,entry,short,22320.9,2.207971157575798,2023-03-07 12:00:00,22489.88,,
43,exit,,20455.73,,2023-03-11 20:00:00,,4118.2415639756555,tp_ema10
44,entry,long,21997.11,0.2776518728481601,2023-03-12 20:00:00,20341.85,,
45,exit,,24471.01,,2023-03-15 12:00:00,,686.8829682390627,tp_ema10
46,entry,long,24824.62,0.7376218937843005,2023-03-16 08:00:00,24182.0,,
